Serial_number:,,,,
2036213,,,,
Project ID:,,,,
ACRE Wetland,,,,
Location:,,,,
Inlet A,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
1/13/2022,4:30:00 PM,0,10.239,6
1/13/2022,4:45:00 PM,0,10.239,6
1/13/2022,5:00:00 PM,0,10.242,6.1
1/13/2022,5:15:00 PM,0,10.245,6.1
1/13/2022,5:30:00 PM,0,10.248,6.1
1/13/2022,5:45:00 PM,0,10.251,6.1
1/13/2022,6:00:00 PM,0,10.251,6.1
1/13/2022,6:15:00 PM,0,10.254,6.1
1/13/2022,6:30:00 PM,0,10.257,6.1
1/13/2022,6:45:00 PM,0,10.26,6.1
1/13/2022,7:00:00 PM,0,10.26,6
1/13/2022,7:15:00 PM,0,10.263,6
1/13/2022,7:30:00 PM,0,10.266,6
1/13/2022,7:45:00 PM,0,10.266,6
1/13/2022,8:00:00 PM,0,10.266,5.9
1/13/2022,8:15:00 PM,0,10.269,5.9
1/13/2022,8:30:00 PM,0,10.266,5.9
1/13/2022,8:45:00 PM,0,10.266,5.8
1/13/2022,9:00:00 PM,0,10.266,5.8
1/13/2022,9:15:00 PM,0,10.269,5.8
1/13/2022,9:30:00 PM,0,10.269,5.8
1/13/2022,9:45:00 PM,0,10.269,5.7
1/13/2022,10:00:00 PM,0,10.269,5.7
1/13/2022,10:15:00 PM,0,10.272,5.7
1/13/2022,10:30:00 PM,0,10.272,5.6
1/13/2022,10:45:00 PM,0,10.275,5.6
1/13/2022,11:00:00 PM,0,10.275,5.6
1/13/2022,11:15:00 PM,0,10.275,5.6
1/13/2022,11:30:00 PM,0,10.272,5.5
1/13/2022,11:45:00 PM,0,10.275,5.5
1/14/2022,12:00:00 AM,0,10.275,5.5
1/14/2022,12:15:00 AM,0,10.275,5.5
1/14/2022,12:30:00 AM,0,10.278,5.5
1/14/2022,12:45:00 AM,0,10.275,5.4
1/14/2022,1:00:00 AM,0,10.275,5.4
1/14/2022,1:15:00 AM,0,10.275,5.4
1/14/2022,1:30:00 AM,0,10.275,5.4
1/14/2022,1:45:00 AM,0,10.275,5.4
1/14/2022,2:00:00 AM,0,10.275,5.4
1/14/2022,2:15:00 AM,0,10.278,5.4
1/14/2022,2:30:00 AM,0,10.281,5.4
1/14/2022,2:45:00 AM,0,10.284,5.3
1/14/2022,3:00:00 AM,0,10.284,5.3
1/14/2022,3:15:00 AM,0,10.281,5.3
1/14/2022,3:30:00 AM,0,10.281,5.3
1/14/2022,3:45:00 AM,0,10.281,5.3
1/14/2022,4:00:00 AM,0,10.278,5.3
1/14/2022,4:15:00 AM,0,10.278,5.3
1/14/2022,4:30:00 AM,0,10.278,5.3
1/14/2022,4:45:00 AM,0,10.278,5.3
1/14/2022,5:00:00 AM,0,10.281,5.3
1/14/2022,5:15:00 AM,0,10.281,5.3
1/14/2022,5:30:00 AM,0,10.281,5.3
1/14/2022,5:45:00 AM,0,10.281,5.3
1/14/2022,6:00:00 AM,0,10.281,5.3
1/14/2022,6:15:00 AM,0,10.284,5.3
1/14/2022,6:30:00 AM,0,10.284,5.3
1/14/2022,6:45:00 AM,0,10.284,5.3
1/14/2022,7:00:00 AM,0,10.29,5.3
1/14/2022,7:15:00 AM,0,10.293,5.4
1/14/2022,7:30:00 AM,0,10.296,5.3
1/14/2022,7:45:00 AM,0,10.296,5.3
1/14/2022,8:00:00 AM,0,10.299,5.4
1/14/2022,8:15:00 AM,0,10.299,5.4
1/14/2022,8:30:00 AM,0,10.299,5.4
1/14/2022,8:45:00 AM,0,10.299,5.4
1/14/2022,9:00:00 AM,0,10.299,5.4
1/14/2022,9:15:00 AM,0,10.299,5.4
1/14/2022,9:30:00 AM,0,10.302,5.4
1/14/2022,9:45:00 AM,0,10.302,5.4
1/14/2022,10:00:00 AM,0,10.305,5.4
1/14/2022,10:15:00 AM,0,10.305,5.4
1/14/2022,10:30:00 AM,0,10.302,5.4
1/14/2022,10:45:00 AM,0,10.305,5.4
1/14/2022,11:00:00 AM,0,10.305,5.4
1/14/2022,11:15:00 AM,0,10.305,5.4
1/14/2022,11:30:00 AM,0,10.308,5.4
1/14/2022,11:45:00 AM,0,10.311,5.4
1/14/2022,12:00:00 PM,0,10.308,5.4
1/14/2022,12:15:00 PM,0,10.308,5.4
1/14/2022,12:30:00 PM,0,10.305,5.4
1/14/2022,12:45:00 PM,0,10.302,5.5
1/14/2022,1:00:00 PM,0,10.302,5.5
1/14/2022,1:15:00 PM,0,10.302,5.5
1/14/2022,1:30:00 PM,0,10.302,5.5
1/14/2022,1:45:00 PM,0,10.299,5.5
1/14/2022,2:00:00 PM,0,10.296,5.5
1/14/2022,2:15:00 PM,0,10.299,5.5
1/14/2022,2:30:00 PM,0,10.299,5.6
1/14/2022,2:45:00 PM,0,10.299,5.6
1/14/2022,3:00:00 PM,0,10.302,5.6
1/14/2022,3:15:00 PM,0,10.302,5.6
1/14/2022,3:30:00 PM,0,10.302,5.6
1/14/2022,3:45:00 PM,0,10.299,5.6
1/14/2022,4:00:00 PM,0,10.305,5.6
1/14/2022,4:15:00 PM,0,10.305,5.7
1/14/2022,4:30:00 PM,0,10.305,5.7
1/14/2022,4:45:00 PM,0,10.305,5.7
1/14/2022,5:00:00 PM,0,10.305,5.7
1/14/2022,5:15:00 PM,0,10.305,5.7
1/14/2022,5:30:00 PM,0,10.305,5.7
1/14/2022,5:45:00 PM,0,10.305,5.7
1/14/2022,6:00:00 PM,0,10.305,5.7
1/14/2022,6:15:00 PM,0,10.305,5.7
1/14/2022,6:30:00 PM,0,10.308,5.7
1/14/2022,6:45:00 PM,0,10.311,5.7
1/14/2022,7:00:00 PM,0,10.311,5.7
1/14/2022,7:15:00 PM,0,10.311,5.7
1/14/2022,7:30:00 PM,0,10.314,5.7
1/14/2022,7:45:00 PM,0,10.314,5.7
1/14/2022,8:00:00 PM,0,10.314,5.7
1/14/2022,8:15:00 PM,0,10.314,5.7
1/14/2022,8:30:00 PM,0,10.314,5.6
1/14/2022,8:45:00 PM,0,10.314,5.6
1/14/2022,9:00:00 PM,0,10.314,5.6
1/14/2022,9:15:00 PM,0,10.317,5.6
1/14/2022,9:30:00 PM,0,10.314,5.6
1/14/2022,9:45:00 PM,0,10.314,5.6
1/14/2022,10:00:00 PM,0,10.314,5.6
1/14/2022,10:15:00 PM,0,10.314,5.6
1/14/2022,10:30:00 PM,0,10.317,5.6
1/14/2022,10:45:00 PM,0,10.317,5.6
1/14/2022,11:00:00 PM,0,10.317,5.6
1/14/2022,11:15:00 PM,0,10.32,5.6
1/14/2022,11:30:00 PM,0,10.32,5.5
1/14/2022,11:45:00 PM,0,10.32,5.5
1/15/2022,12:00:00 AM,0,10.32,5.5
1/15/2022,12:15:00 AM,0,10.32,5.5
1/15/2022,12:30:00 AM,0,10.32,5.5
1/15/2022,12:45:00 AM,0,10.32,5.5
1/15/2022,1:00:00 AM,0,10.32,5.5
1/15/2022,1:15:00 AM,0,10.32,5.5
1/15/2022,1:30:00 AM,0,10.323,5.5
1/15/2022,1:45:00 AM,0,10.323,5.4
1/15/2022,2:00:00 AM,0,10.323,5.4
1/15/2022,2:15:00 AM,0,10.323,5.4
1/15/2022,2:30:00 AM,0,10.326,5.4
1/15/2022,2:45:00 AM,0,10.329,5.4
1/15/2022,3:00:00 AM,0,10.332,5.4
1/15/2022,3:15:00 AM,0,10.332,5.4
1/15/2022,3:30:00 AM,0,10.335,5.4
1/15/2022,3:45:00 AM,0,10.335,5.3
1/15/2022,4:00:00 AM,0,10.335,5.3
1/15/2022,4:15:00 AM,0,10.338,5.3
1/15/2022,4:30:00 AM,0,10.338,5.3
1/15/2022,4:45:00 AM,0,10.338,5.3
1/15/2022,5:00:00 AM,0,10.341,5.3
1/15/2022,5:15:00 AM,0,10.341,5.3
1/15/2022,5:30:00 AM,0,10.344,5.2
1/15/2022,5:45:00 AM,0,10.347,5.2
1/15/2022,6:00:00 AM,0,10.347,5.2
1/15/2022,6:15:00 AM,0,10.35,5.2
1/15/2022,6:30:00 AM,0,10.35,5.2
1/15/2022,6:45:00 AM,0,10.35,5.2
1/15/2022,7:00:00 AM,0,10.353,5.2
1/15/2022,7:15:00 AM,0,10.353,5.2
1/15/2022,7:30:00 AM,0,10.353,5.1
1/15/2022,7:45:00 AM,0,10.359,5.1
1/15/2022,8:00:00 AM,0,10.359,5.1
1/15/2022,8:15:00 AM,0,10.356,5.1
1/15/2022,8:30:00 AM,0,10.356,5.1
1/15/2022,8:45:00 AM,0,10.362,5.1
1/15/2022,9:00:00 AM,0,10.365,5.1
1/15/2022,9:15:00 AM,0,10.368,5.1
1/15/2022,9:30:00 AM,0,10.365,5
1/15/2022,9:45:00 AM,0,10.362,5
1/15/2022,10:00:00 AM,0,10.362,5
1/15/2022,10:15:00 AM,0,10.362,5
1/15/2022,10:30:00 AM,0,10.365,5
1/15/2022,10:45:00 AM,0,10.362,5
1/15/2022,11:00:00 AM,0,10.365,5
1/15/2022,11:15:00 AM,0,10.365,5
1/15/2022,11:30:00 AM,0,10.368,5
1/15/2022,11:45:00 AM,0,10.365,5
1/15/2022,12:00:00 PM,0,10.368,5
1/15/2022,12:15:00 PM,0,10.365,5
1/15/2022,12:30:00 PM,0,10.365,5
1/15/2022,12:45:00 PM,0,10.362,5
1/15/2022,1:00:00 PM,0,10.362,5
1/15/2022,1:15:00 PM,0,10.362,5
1/15/2022,1:30:00 PM,0,10.359,5
1/15/2022,1:45:00 PM,0,10.356,5
1/15/2022,2:00:00 PM,0,10.353,5
1/15/2022,2:15:00 PM,0,10.35,5
1/15/2022,2:30:00 PM,0,10.347,5
1/15/2022,2:45:00 PM,0,10.347,5
1/15/2022,3:00:00 PM,0,10.344,5
1/15/2022,3:15:00 PM,0,10.344,5
1/15/2022,3:30:00 PM,0,10.341,5
1/15/2022,3:45:00 PM,0,10.344,5
1/15/2022,4:00:00 PM,0,10.344,5
1/15/2022,4:15:00 PM,0,10.344,5
1/15/2022,4:30:00 PM,0,10.344,5
1/15/2022,4:45:00 PM,0,10.347,5
1/15/2022,5:00:00 PM,0,10.35,5
1/15/2022,5:15:00 PM,0,10.35,5
1/15/2022,5:30:00 PM,0,10.35,5
1/15/2022,5:45:00 PM,0,10.35,5
1/15/2022,6:00:00 PM,0,10.35,5
1/15/2022,6:15:00 PM,0,10.35,5
1/15/2022,6:30:00 PM,0,10.35,5
1/15/2022,6:45:00 PM,0,10.353,5
1/15/2022,7:00:00 PM,0,10.35,5
1/15/2022,7:15:00 PM,0,10.35,5
1/15/2022,7:30:00 PM,0,10.35,5
1/15/2022,7:45:00 PM,0,10.35,5
1/15/2022,8:00:00 PM,0,10.347,5
1/15/2022,8:15:00 PM,0,10.347,4.9
1/15/2022,8:30:00 PM,0,10.347,4.9
1/15/2022,8:45:00 PM,0,10.344,4.9
1/15/2022,9:00:00 PM,0,10.344,4.9
1/15/2022,9:15:00 PM,0,10.344,4.9
1/15/2022,9:30:00 PM,0,10.344,4.9
1/15/2022,9:45:00 PM,0,10.344,4.9
1/15/2022,10:00:00 PM,0,10.344,4.9
1/15/2022,10:15:00 PM,0,10.344,4.9
1/15/2022,10:30:00 PM,0,10.344,4.9
1/15/2022,10:45:00 PM,0,10.344,4.8
1/15/2022,11:00:00 PM,0,10.341,4.8
1/15/2022,11:15:00 PM,0,10.341,4.8
1/15/2022,11:30:00 PM,0,10.341,4.8
1/15/2022,11:45:00 PM,0,10.341,4.8
1/16/2022,12:00:00 AM,0,10.338,4.8
1/16/2022,12:15:00 AM,0,10.335,4.8
1/16/2022,12:30:00 AM,0,10.332,4.7
1/16/2022,12:45:00 AM,0,10.329,4.7
1/16/2022,1:00:00 AM,0,10.329,4.7
1/16/2022,1:15:00 AM,0,10.317,4.7
1/16/2022,1:30:00 AM,0,10.32,4.7
1/16/2022,1:45:00 AM,0,10.317,4.7
1/16/2022,2:00:00 AM,0,10.317,4.7
1/16/2022,2:15:00 AM,0,10.32,4.7
1/16/2022,2:30:00 AM,0,10.314,4.7
1/16/2022,2:45:00 AM,0,10.314,4.7
1/16/2022,3:00:00 AM,0,10.314,4.7
1/16/2022,3:15:00 AM,0,10.314,4.7
1/16/2022,3:30:00 AM,0,10.317,4.7
1/16/2022,3:45:00 AM,0,10.314,4.7
1/16/2022,4:00:00 AM,0,10.311,4.7
1/16/2022,4:15:00 AM,0,10.305,4.7
1/16/2022,4:30:00 AM,0,10.302,4.7
1/16/2022,4:45:00 AM,0,10.299,4.7
1/16/2022,5:00:00 AM,0,10.299,4.7
1/16/2022,5:15:00 AM,0,10.299,4.7
1/16/2022,5:30:00 AM,0,10.296,4.7
1/16/2022,5:45:00 AM,0,10.293,4.7
1/16/2022,6:00:00 AM,0,10.287,4.7
1/16/2022,6:15:00 AM,0,10.287,4.7
1/16/2022,6:30:00 AM,0,10.287,4.7
1/16/2022,6:45:00 AM,0,10.284,4.7
1/16/2022,7:00:00 AM,0,10.284,4.7
1/16/2022,7:15:00 AM,0,10.281,4.7
1/16/2022,7:30:00 AM,0,10.284,4.7
1/16/2022,7:45:00 AM,0,10.284,4.7
1/16/2022,8:00:00 AM,0,10.284,4.8
1/16/2022,8:15:00 AM,0,10.281,4.8
1/16/2022,8:30:00 AM,0,10.281,4.8
1/16/2022,8:45:00 AM,0,10.278,4.8
1/16/2022,9:00:00 AM,0,10.275,4.8
1/16/2022,9:15:00 AM,0,10.272,4.8
1/16/2022,9:30:00 AM,0,10.275,4.9
1/16/2022,9:45:00 AM,0,10.269,4.9
1/16/2022,10:00:00 AM,0,10.269,4.9
1/16/2022,10:15:00 AM,0,10.266,4.9
1/16/2022,10:30:00 AM,0,10.263,4.9
1/16/2022,10:45:00 AM,0,10.263,4.9
1/16/2022,11:00:00 AM,0,10.257,5
1/16/2022,11:15:00 AM,0,10.257,5
1/16/2022,11:30:00 AM,0,10.254,5
1/16/2022,11:45:00 AM,0,10.248,5
1/16/2022,12:00:00 PM,0,10.245,5.1
1/16/2022,12:15:00 PM,0,10.242,5.1
1/16/2022,12:30:00 PM,0,10.239,5.1
1/16/2022,12:45:00 PM,0,10.233,5.1
1/16/2022,1:00:00 PM,0,10.227,5.1
1/16/2022,1:15:00 PM,0,10.224,5.2
1/16/2022,1:30:00 PM,0,10.224,5.2
1/16/2022,1:45:00 PM,0,10.218,5.2
1/16/2022,2:00:00 PM,0,10.218,5.2
1/16/2022,2:15:00 PM,0,10.218,5.3
1/16/2022,2:30:00 PM,0,10.212,5.3
1/16/2022,2:45:00 PM,0,10.209,5.3
1/16/2022,3:00:00 PM,0,10.206,5.3
1/16/2022,3:15:00 PM,0,10.203,5.3
1/16/2022,3:30:00 PM,0,10.206,5.4
1/16/2022,3:45:00 PM,0,10.203,5.4
1/16/2022,4:00:00 PM,0,10.203,5.4
1/16/2022,4:15:00 PM,0,10.203,5.4
1/16/2022,4:30:00 PM,0,10.2,5.4
1/16/2022,4:45:00 PM,0,10.2,5.4
1/16/2022,5:00:00 PM,0,10.197,5.4
1/16/2022,5:15:00 PM,0,10.2,5.5
1/16/2022,5:30:00 PM,0,10.2,5.5
1/16/2022,5:45:00 PM,0,10.197,5.5
1/16/2022,6:00:00 PM,0,10.197,5.5
