Serial_number:
2035083
Project ID:
ACRE Wetland
Location:
Center
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/14/2022,08:30:49 am,0,40.1,21.90
7/14/2022,08:45:49 am,0,39.7,21.90
7/14/2022,09:00:49 am,0,40.0,21.90
7/14/2022,09:15:49 am,0,40.1,21.90
7/14/2022,09:30:49 am,0,40.0,21.90
7/14/2022,09:45:49 am,0,39.9,22.00
7/14/2022,10:00:49 am,0,39.9,22.00
7/14/2022,10:15:49 am,0,39.9,22.00
7/14/2022,10:30:49 am,0,39.7,22.00
7/14/2022,10:45:49 am,0,39.6,22.00
7/14/2022,11:00:49 am,0,39.8,22.00
7/14/2022,11:15:49 am,0,39.7,22.00
7/14/2022,11:30:49 am,0,39.7,22.00
7/14/2022,11:45:49 am,0,39.6,22.00
7/14/2022,12:00:49 pm,0,39.7,22.00
7/14/2022,12:15:49 pm,0,39.6,22.00
7/14/2022,12:30:49 pm,0,39.8,22.00
7/14/2022,12:45:49 pm,0,39.8,22.00
7/14/2022,01:00:49 pm,0,39.8,22.00
7/14/2022,01:15:49 pm,0,39.6,22.00
7/14/2022,01:30:49 pm,0,39.4,22.00
7/14/2022,01:45:49 pm,0,39.6,22.00
7/14/2022,02:00:49 pm,0,39.4,22.00
7/14/2022,02:15:49 pm,0,39.6,22.00
7/14/2022,02:30:49 pm,0,39.5,22.00
7/14/2022,02:45:49 pm,0,39.4,22.10
7/14/2022,03:00:49 pm,0,39.4,22.10
7/14/2022,03:15:49 pm,0,39.5,22.10
7/14/2022,03:30:49 pm,0,39.4,22.10
7/14/2022,03:45:49 pm,0,39.6,22.10
7/14/2022,04:00:49 pm,0,39.5,22.10
7/14/2022,04:15:49 pm,0,39.6,22.10
7/14/2022,04:30:49 pm,0,39.6,22.10
7/14/2022,04:45:49 pm,0,39.9,22.10
7/14/2022,05:00:49 pm,0,39.6,22.10
7/14/2022,05:15:49 pm,0,39.9,22.20
7/14/2022,05:30:49 pm,0,40.0,22.20
7/14/2022,05:45:49 pm,0,39.8,22.20
7/14/2022,06:00:49 pm,0,39.9,22.20
7/14/2022,06:15:49 pm,0,39.8,22.20
7/14/2022,06:30:49 pm,0,39.7,22.20
7/14/2022,06:45:49 pm,0,40.0,22.20
7/14/2022,07:00:49 pm,0,39.8,22.30
7/14/2022,07:15:49 pm,0,40.0,22.30
7/14/2022,07:30:49 pm,0,39.9,22.30
7/14/2022,07:45:49 pm,0,40.0,22.30
7/14/2022,08:00:49 pm,0,39.8,22.30
7/14/2022,08:15:49 pm,0,39.9,22.40
7/14/2022,08:30:49 pm,0,39.8,22.40
7/14/2022,08:45:49 pm,0,40.0,22.40
7/14/2022,09:00:49 pm,0,39.8,22.40
7/14/2022,09:15:49 pm,0,39.9,22.40
7/14/2022,09:30:49 pm,0,39.9,22.40
7/14/2022,09:45:49 pm,0,39.9,22.50
7/14/2022,10:00:49 pm,0,39.9,22.50
7/14/2022,10:15:49 pm,0,39.7,22.50
7/14/2022,10:30:49 pm,0,39.7,22.50
7/14/2022,10:45:49 pm,0,39.9,22.50
7/14/2022,11:00:49 pm,0,39.7,22.50
7/14/2022,11:15:49 pm,0,39.7,22.50
7/14/2022,11:30:49 pm,0,39.9,22.60
7/14/2022,11:45:49 pm,0,39.6,22.60
7/15/2022,12:00:49 am,0,39.8,22.60
7/15/2022,12:15:49 am,0,39.8,22.60
7/15/2022,12:30:49 am,0,39.6,22.60
7/15/2022,12:45:49 am,0,39.7,22.60
7/15/2022,01:00:49 am,0,39.6,22.60
7/15/2022,01:15:49 am,0,39.6,22.60
7/15/2022,01:30:49 am,0,39.6,22.60
7/15/2022,01:45:49 am,0,39.4,22.60
7/15/2022,02:00:49 am,0,39.6,22.60
7/15/2022,02:15:49 am,0,39.6,22.60
7/15/2022,02:30:49 am,0,39.5,22.60
7/15/2022,02:45:49 am,0,39.6,22.60
7/15/2022,03:00:49 am,0,39.4,22.60
7/15/2022,03:15:49 am,0,39.4,22.60
7/15/2022,03:30:49 am,0,39.4,22.60
7/15/2022,03:45:49 am,0,39.3,22.60
7/15/2022,04:00:49 am,0,39.6,22.60
7/15/2022,04:15:49 am,0,39.4,22.60
7/15/2022,04:30:49 am,0,39.4,22.60
7/15/2022,04:45:49 am,0,39.4,22.60
7/15/2022,05:00:49 am,0,39.4,22.50
7/15/2022,05:15:49 am,0,39.3,22.50
7/15/2022,05:30:49 am,0,39.1,22.40
7/15/2022,05:45:49 am,0,39.3,22.40
7/15/2022,06:00:49 am,0,39.0,22.30
7/15/2022,06:15:49 am,0,39.0,22.30
7/15/2022,06:30:49 am,0,38.9,22.20
7/15/2022,06:45:49 am,0,38.7,22.20
7/15/2022,07:00:49 am,0,38.8,22.20
7/15/2022,07:15:49 am,0,38.7,22.10
7/15/2022,07:30:49 am,0,38.6,22.10
7/15/2022,07:45:49 am,0,38.7,22.10
7/15/2022,08:00:49 am,0,38.6,22.10
7/15/2022,08:15:49 am,0,38.7,22.10
7/15/2022,08:30:49 am,0,38.6,22.10
7/15/2022,08:45:49 am,0,38.8,22.10
7/15/2022,09:00:49 am,0,38.7,22.10
7/15/2022,09:15:49 am,0,38.6,22.10
7/15/2022,09:30:49 am,0,38.6,22.10
7/15/2022,09:45:49 am,0,38.4,22.10
7/15/2022,10:00:49 am,0,38.4,22.10
7/15/2022,10:15:49 am,0,38.6,22.10
7/15/2022,10:30:49 am,0,38.4,22.10
7/15/2022,10:45:49 am,0,38.6,22.10
7/15/2022,11:00:49 am,0,38.7,22.10
7/15/2022,11:15:49 am,0,38.9,22.10
7/15/2022,11:30:49 am,0,38.7,22.10
7/15/2022,11:45:49 am,0,38.7,22.10
7/15/2022,12:00:49 pm,0,38.8,22.10
7/15/2022,12:15:49 pm,0,38.6,22.10
7/15/2022,12:30:49 pm,0,38.5,22.10
7/15/2022,12:45:49 pm,0,38.5,22.10
7/15/2022,01:00:49 pm,0,38.6,22.10
7/15/2022,01:15:49 pm,0,38.5,22.10
7/15/2022,01:30:49 pm,0,38.5,22.10
7/15/2022,01:45:49 pm,0,38.6,22.10
7/15/2022,02:00:49 pm,0,38.4,22.10
7/15/2022,02:15:49 pm,0,38.5,22.10
7/15/2022,02:30:49 pm,0,38.5,22.10
7/15/2022,02:45:49 pm,0,38.4,22.10
7/15/2022,03:00:49 pm,0,38.5,22.10
7/15/2022,03:15:49 pm,0,38.3,22.10
7/15/2022,03:30:49 pm,0,38.5,22.10
7/15/2022,03:45:49 pm,0,38.5,22.00
7/15/2022,04:00:49 pm,0,38.5,22.00
7/15/2022,04:15:49 pm,0,38.3,22.00
7/15/2022,04:30:49 pm,0,38.4,22.00
7/15/2022,04:45:49 pm,0,38.4,22.00
7/15/2022,05:00:49 pm,0,38.5,22.00
7/15/2022,05:15:49 pm,0,38.5,22.00
7/15/2022,05:30:49 pm,0,38.4,22.00
7/15/2022,05:45:49 pm,0,38.5,22.00
7/15/2022,06:00:49 pm,0,38.4,22.00
7/15/2022,06:15:49 pm,0,38.4,22.00
7/15/2022,06:30:49 pm,0,38.5,22.00
7/15/2022,06:45:49 pm,0,38.6,22.00
7/15/2022,07:00:49 pm,0,38.5,22.00
7/15/2022,07:15:49 pm,0,38.6,22.00
7/15/2022,07:30:49 pm,0,38.4,22.00
7/15/2022,07:45:49 pm,0,38.4,22.00
7/15/2022,08:00:49 pm,0,38.5,22.00
7/15/2022,08:15:49 pm,0,38.7,22.00
7/15/2022,08:30:49 pm,0,38.5,22.00
7/15/2022,08:45:49 pm,0,38.7,22.00
7/15/2022,09:00:49 pm,0,38.5,22.00
7/15/2022,09:15:49 pm,0,38.6,22.00
7/15/2022,09:30:49 pm,0,38.6,22.00
7/15/2022,09:45:49 pm,0,38.6,22.00
7/15/2022,10:00:49 pm,0,38.8,22.00
7/15/2022,10:15:49 pm,0,38.4,21.90
7/15/2022,10:30:49 pm,0,38.5,21.90
7/15/2022,10:45:49 pm,0,38.5,21.90
7/15/2022,11:00:49 pm,0,38.5,21.90
7/15/2022,11:15:49 pm,0,38.6,21.90
7/15/2022,11:30:49 pm,0,38.6,21.90
7/15/2022,11:45:49 pm,0,38.5,21.90
7/16/2022,12:00:49 am,0,38.6,21.90
7/16/2022,12:15:49 am,0,38.6,21.90
7/16/2022,12:30:49 am,0,38.7,21.90
7/16/2022,12:45:49 am,0,38.6,21.90
7/16/2022,01:00:49 am,0,38.6,21.90
7/16/2022,01:15:49 am,0,38.7,21.90
7/16/2022,01:30:49 am,0,38.7,21.90
7/16/2022,01:45:49 am,0,38.5,21.90
7/16/2022,02:00:49 am,0,38.6,21.90
7/16/2022,02:15:49 am,0,38.4,21.80
7/16/2022,02:30:49 am,0,38.5,21.80
7/16/2022,02:45:49 am,0,38.5,21.80
7/16/2022,03:00:49 am,0,38.5,21.80
7/16/2022,03:15:49 am,0,38.5,21.80
7/16/2022,03:30:49 am,0,38.7,21.80
7/16/2022,03:45:49 am,0,38.6,21.80
7/16/2022,04:00:49 am,0,38.7,21.80
7/16/2022,04:15:49 am,0,38.5,21.80
7/16/2022,04:30:49 am,0,38.4,21.70
7/16/2022,04:45:49 am,0,38.3,21.70
7/16/2022,05:00:49 am,0,38.3,21.70
7/16/2022,05:15:49 am,0,38.5,21.70
7/16/2022,05:30:49 am,0,38.5,21.70
7/16/2022,05:45:49 am,0,38.4,21.70
7/16/2022,06:00:49 am,0,38.4,21.60
7/16/2022,06:15:49 am,0,38.3,21.60
7/16/2022,06:30:49 am,0,38.4,21.60
7/16/2022,06:45:49 am,0,38.5,21.60
7/16/2022,07:00:49 am,0,38.5,21.60
7/16/2022,07:15:49 am,0,38.3,21.60
7/16/2022,07:30:49 am,0,38.1,21.60
7/16/2022,07:45:49 am,0,38.1,21.60
7/16/2022,08:00:49 am,0,38.3,21.60
7/16/2022,08:15:49 am,0,38.0,21.60
7/16/2022,08:30:49 am,0,38.1,21.60
7/16/2022,08:45:49 am,0,38.0,21.60
7/16/2022,09:00:49 am,0,38.1,21.60
7/16/2022,09:15:49 am,0,38.0,21.50
7/16/2022,09:30:49 am,0,38.0,21.50
7/16/2022,09:45:49 am,0,38.0,21.50
7/16/2022,10:00:49 am,0,38.1,21.50
7/16/2022,10:15:49 am,0,38.0,21.50
7/16/2022,10:30:49 am,0,37.9,21.50
7/16/2022,10:45:49 am,0,37.7,21.50
7/16/2022,11:00:49 am,0,38.0,21.50
7/16/2022,11:15:49 am,0,37.8,21.50
7/16/2022,11:30:49 am,0,37.9,21.50
7/16/2022,11:45:49 am,0,37.8,21.50
7/16/2022,12:00:49 pm,0,38.0,21.50
7/16/2022,12:15:49 pm,0,38.1,21.50
7/16/2022,12:30:49 pm,0,38.0,21.50
7/16/2022,12:45:49 pm,0,37.8,21.50
7/16/2022,01:00:49 pm,0,37.8,21.50
7/16/2022,01:15:49 pm,0,37.9,21.50
7/16/2022,01:30:49 pm,0,37.7,21.50
7/16/2022,01:45:49 pm,0,37.8,21.50
7/16/2022,02:00:49 pm,0,37.6,21.50
7/16/2022,02:15:49 pm,0,37.7,21.50
7/16/2022,02:30:49 pm,0,38.0,21.50
7/16/2022,02:45:49 pm,0,37.9,21.50
7/16/2022,03:00:49 pm,0,38.1,21.50
7/16/2022,03:15:49 pm,0,37.8,21.50
7/16/2022,03:30:49 pm,0,37.7,21.50
7/16/2022,03:45:49 pm,0,38.1,21.60
7/16/2022,04:00:49 pm,0,37.9,21.60
7/16/2022,04:15:49 pm,0,38.1,21.60
7/16/2022,04:30:49 pm,0,38.2,21.60
7/16/2022,04:45:49 pm,0,38.0,21.60
7/16/2022,05:00:49 pm,0,38.1,21.60
7/16/2022,05:15:49 pm,0,38.1,21.60
7/16/2022,05:30:49 pm,0,38.1,21.60
7/16/2022,05:45:49 pm,0,38.2,21.70
7/16/2022,06:00:49 pm,0,38.3,21.70
7/16/2022,06:15:49 pm,0,38.3,21.70
7/16/2022,06:30:49 pm,0,38.0,21.70
7/16/2022,06:45:49 pm,0,38.1,21.70
7/16/2022,07:00:49 pm,0,38.1,21.70
7/16/2022,07:15:49 pm,0,38.2,21.80
7/16/2022,07:30:49 pm,0,38.1,21.80
7/16/2022,07:45:49 pm,0,38.3,21.80
7/16/2022,08:00:49 pm,0,38.0,21.80
7/16/2022,08:15:49 pm,0,38.0,21.80
7/16/2022,08:30:49 pm,0,38.3,21.90
7/16/2022,08:45:49 pm,0,38.3,21.90
7/16/2022,09:00:49 pm,0,38.3,21.90
7/16/2022,09:15:49 pm,0,38.3,21.90
7/16/2022,09:30:49 pm,0,38.1,21.90
7/16/2022,09:45:49 pm,0,38.3,22.00
7/16/2022,10:00:49 pm,0,38.4,22.00
7/16/2022,10:15:49 pm,0,38.2,22.00
7/16/2022,10:30:49 pm,0,38.0,22.00
7/16/2022,10:45:49 pm,0,38.2,22.00
7/16/2022,11:00:49 pm,0,38.2,22.10
7/16/2022,11:15:49 pm,0,38.3,22.10
7/16/2022,11:30:49 pm,0,38.1,22.10
7/16/2022,11:45:49 pm,0,38.1,22.10
7/17/2022,12:00:49 am,0,38.0,22.10
7/17/2022,12:15:49 am,0,38.2,22.10
7/17/2022,12:30:49 am,0,38.3,22.20
7/17/2022,12:45:49 am,0,38.3,22.20
7/17/2022,01:00:49 am,0,38.2,22.20
7/17/2022,01:15:49 am,0,38.1,22.20
7/17/2022,01:30:49 am,0,38.2,22.20
7/17/2022,01:45:49 am,0,38.2,22.20
7/17/2022,02:00:49 am,0,38.0,22.20
7/17/2022,02:15:49 am,0,38.3,22.30
7/17/2022,02:30:49 am,0,38.1,22.30
7/17/2022,02:45:49 am,0,38.0,22.30
7/17/2022,03:00:49 am,0,38.2,22.30
7/17/2022,03:15:49 am,0,38.3,22.30
7/17/2022,03:30:49 am,0,38.2,22.30
7/17/2022,03:45:49 am,0,38.2,22.30
7/17/2022,04:00:49 am,0,38.2,22.30
7/17/2022,04:15:49 am,0,38.2,22.30
7/17/2022,04:30:49 am,0,38.2,22.40
7/17/2022,04:45:49 am,0,38.1,22.40
7/17/2022,05:00:49 am,0,38.2,22.40
7/17/2022,05:15:49 am,0,38.2,22.40
7/17/2022,05:30:49 am,0,38.3,22.40
7/17/2022,05:45:49 am,0,38.1,22.40
7/17/2022,06:00:49 am,0,38.2,22.40
7/17/2022,06:15:49 am,0,38.0,22.40
7/17/2022,06:30:49 am,0,38.0,22.40
7/17/2022,06:45:49 am,0,38.2,22.40
7/17/2022,07:00:49 am,0,37.9,22.40
7/17/2022,07:15:49 am,0,38.1,22.40
7/17/2022,07:30:49 am,0,37.9,22.40
7/17/2022,07:45:49 am,0,37.9,22.40
7/17/2022,08:00:49 am,0,37.8,22.40
7/17/2022,08:15:49 am,0,37.8,22.40
7/17/2022,08:30:49 am,0,37.9,22.40
7/17/2022,08:45:49 am,0,38.0,22.40
7/17/2022,09:00:49 am,0,37.8,22.40
7/17/2022,09:15:49 am,0,37.8,22.40
7/17/2022,09:30:49 am,0,37.8,22.40
7/17/2022,09:45:49 am,0,37.9,22.40
7/17/2022,10:00:49 am,0,37.8,22.40
7/17/2022,10:15:49 am,0,37.6,22.40
7/17/2022,10:30:49 am,0,37.6,22.40
7/17/2022,10:45:49 am,0,37.7,22.40
7/17/2022,11:00:49 am,0,37.6,22.40
7/17/2022,11:15:49 am,0,37.7,22.40
7/17/2022,11:30:49 am,0,37.7,22.40
7/17/2022,11:45:49 am,0,37.8,22.40
7/17/2022,12:00:49 pm,0,37.8,22.40
7/17/2022,12:15:49 pm,0,37.9,22.40
7/17/2022,12:30:49 pm,0,37.9,22.40
7/17/2022,12:45:49 pm,0,37.9,22.40
7/17/2022,01:00:49 pm,0,37.6,22.40
7/17/2022,01:15:49 pm,0,37.8,22.40
7/17/2022,01:30:49 pm,0,37.8,22.40
7/17/2022,01:45:49 pm,0,37.7,22.40
7/17/2022,02:00:49 pm,0,38.0,22.40
7/17/2022,02:15:49 pm,0,37.8,22.40
7/17/2022,02:30:49 pm,0,37.9,22.40
7/17/2022,02:45:49 pm,0,37.9,22.40
7/17/2022,03:00:49 pm,0,37.9,22.40
7/17/2022,03:15:49 pm,0,37.9,22.40
7/17/2022,03:30:49 pm,0,37.8,22.40
7/17/2022,03:45:49 pm,0,37.8,22.40
7/17/2022,04:00:49 pm,0,37.6,22.40
7/17/2022,04:15:49 pm,0,37.8,22.40
7/17/2022,04:30:49 pm,0,37.7,22.40
7/17/2022,04:45:49 pm,0,37.6,22.40
7/17/2022,05:00:49 pm,0,37.6,22.40
7/17/2022,05:15:49 pm,0,37.7,22.40
7/17/2022,05:30:49 pm,0,37.7,22.40
7/17/2022,05:45:49 pm,0,37.7,22.40
7/17/2022,06:00:49 pm,0,37.6,22.40
7/17/2022,06:15:49 pm,0,37.9,22.40
7/17/2022,06:30:49 pm,0,37.6,22.40
7/17/2022,06:45:49 pm,0,37.7,22.40
7/17/2022,07:00:49 pm,0,37.8,22.40
7/17/2022,07:15:49 pm,0,37.7,22.40
7/17/2022,07:30:49 pm,0,37.8,22.40
7/17/2022,07:45:49 pm,0,37.8,22.40
7/17/2022,08:00:49 pm,0,37.8,22.40
7/17/2022,08:15:49 pm,0,37.8,22.40
7/17/2022,08:30:49 pm,0,38.1,22.40
7/17/2022,08:45:49 pm,0,38.1,22.40
7/17/2022,09:00:49 pm,0,37.9,22.40
7/17/2022,09:15:49 pm,0,38.1,22.40
7/17/2022,09:30:49 pm,0,37.9,22.40
7/17/2022,09:45:49 pm,0,37.9,22.40
7/17/2022,10:00:49 pm,0,37.8,22.40
7/17/2022,10:15:49 pm,0,38.0,22.40
7/17/2022,10:30:49 pm,0,37.8,22.40
7/17/2022,10:45:49 pm,0,37.8,22.40
7/17/2022,11:00:49 pm,0,37.8,22.40
7/17/2022,11:15:49 pm,0,38.0,22.40
7/17/2022,11:30:49 pm,0,37.9,22.40
7/17/2022,11:45:49 pm,0,38.0,22.40
7/18/2022,12:00:49 am,0,37.9,22.40
7/18/2022,12:15:49 am,0,38.0,22.40
7/18/2022,12:30:49 am,0,37.9,22.40
7/18/2022,12:45:49 am,0,37.8,22.40
7/18/2022,01:00:49 am,0,38.0,22.40
7/18/2022,01:15:49 am,0,38.1,22.40
7/18/2022,01:30:49 am,0,38.0,22.40
7/18/2022,01:45:49 am,0,37.9,22.40
7/18/2022,02:00:49 am,0,37.9,22.40
7/18/2022,02:15:49 am,0,37.7,22.40
7/18/2022,02:30:49 am,0,37.8,22.40
7/18/2022,02:45:49 am,0,37.8,22.40
7/18/2022,03:00:49 am,0,37.9,22.40
7/18/2022,03:15:49 am,0,37.9,22.40
7/18/2022,03:30:49 am,0,37.9,22.40
7/18/2022,03:45:49 am,0,37.7,22.40
7/18/2022,04:00:49 am,0,38.0,22.40
7/18/2022,04:15:49 am,0,37.9,22.40
7/18/2022,04:30:49 am,0,37.9,22.40
7/18/2022,04:45:49 am,0,37.8,22.40
7/18/2022,05:00:49 am,0,37.7,22.40
7/18/2022,05:15:49 am,0,37.9,22.40
7/18/2022,05:30:49 am,0,37.8,22.30
7/18/2022,05:45:49 am,0,37.6,22.30
7/18/2022,06:00:49 am,0,37.6,22.30
7/18/2022,06:15:49 am,0,37.7,22.30
7/18/2022,06:30:49 am,0,37.6,22.30
7/18/2022,06:45:49 am,0,37.6,22.30
7/18/2022,07:00:49 am,0,37.6,22.30
7/18/2022,07:15:49 am,0,37.8,22.30
7/18/2022,07:30:49 am,0,37.6,22.30
7/18/2022,07:45:49 am,0,37.7,22.30
7/18/2022,08:00:49 am,0,37.5,22.30
7/18/2022,08:15:49 am,0,37.5,22.30
7/18/2022,08:30:49 am,0,37.6,22.30
7/18/2022,08:45:49 am,0,37.6,22.30
7/18/2022,09:00:49 am,0,37.6,22.30
7/18/2022,09:15:49 am,0,37.4,22.30
7/18/2022,09:30:49 am,0,37.1,22.20
7/18/2022,09:45:49 am,0,37.2,22.20
7/18/2022,10:00:49 am,0,37.0,22.20
7/18/2022,10:15:49 am,0,37.0,22.20
7/18/2022,10:30:49 am,0,37.2,22.20
7/18/2022,10:45:49 am,0,37.0,22.20
7/18/2022,11:00:49 am,0,37.2,22.20
7/18/2022,11:15:49 am,0,37.1,22.20
7/18/2022,11:30:49 am,0,37.2,22.20
7/18/2022,11:45:49 am,0,37.1,22.20
7/18/2022,12:00:49 pm,0,37.3,22.20
7/18/2022,12:15:49 pm,0,37.3,22.20
7/18/2022,12:30:49 pm,0,37.0,22.20
7/18/2022,12:45:49 pm,0,37.1,22.20
7/18/2022,01:00:49 pm,0,37.0,22.20
7/18/2022,01:15:49 pm,0,36.9,22.20
7/18/2022,01:30:49 pm,0,37.1,22.20
7/18/2022,01:45:49 pm,0,37.1,22.20
7/18/2022,02:00:49 pm,0,36.9,22.20
7/18/2022,02:15:49 pm,0,37.1,22.20
7/18/2022,02:30:49 pm,0,36.9,22.20
7/18/2022,02:45:49 pm,0,37.1,22.20
7/18/2022,03:00:49 pm,0,36.9,22.20
7/18/2022,03:15:49 pm,0,37.0,22.20
7/18/2022,03:30:49 pm,0,37.0,22.20
7/18/2022,03:45:49 pm,0,36.8,22.20
7/18/2022,04:00:49 pm,0,36.9,22.20
7/18/2022,04:15:49 pm,0,36.8,22.20
7/18/2022,04:30:49 pm,0,37.1,22.20
7/18/2022,04:45:49 pm,0,37.2,22.20
7/18/2022,05:00:49 pm,0,37.3,22.20
7/18/2022,05:15:49 pm,0,37.4,22.20
7/18/2022,05:30:49 pm,0,37.2,22.20
7/18/2022,05:45:49 pm,0,37.5,22.30
7/18/2022,06:00:49 pm,0,37.4,22.30
7/18/2022,06:15:49 pm,0,37.3,22.30
7/18/2022,06:30:49 pm,0,37.2,22.30
7/18/2022,06:45:49 pm,0,37.2,22.30
7/18/2022,07:00:49 pm,0,37.4,22.30
7/18/2022,07:15:49 pm,0,37.1,22.30
7/18/2022,07:30:49 pm,0,37.4,22.40
7/18/2022,07:45:49 pm,0,37.4,22.40
7/18/2022,08:00:49 pm,0,37.3,22.40
7/18/2022,08:15:49 pm,0,37.3,22.40
7/18/2022,08:30:49 pm,0,37.5,22.40
7/18/2022,08:45:49 pm,0,37.4,22.40
7/18/2022,09:00:49 pm,0,37.5,22.50
7/18/2022,09:15:49 pm,0,37.4,22.50
7/18/2022,09:30:49 pm,0,37.3,22.50
7/18/2022,09:45:49 pm,0,37.2,22.50
7/18/2022,10:00:49 pm,0,37.2,22.50
7/18/2022,10:15:49 pm,0,37.3,22.50
7/18/2022,10:30:49 pm,0,37.3,22.50
7/18/2022,10:45:49 pm,0,37.3,22.60
7/18/2022,11:00:49 pm,0,37.3,22.60
7/18/2022,11:15:49 pm,0,37.2,22.60
7/18/2022,11:30:49 pm,0,37.4,22.60
7/18/2022,11:45:49 pm,0,37.2,22.60
7/19/2022,12:00:49 am,0,37.1,22.60
7/19/2022,12:15:49 am,0,37.2,22.60
7/19/2022,12:30:49 am,0,37.3,22.70
