Serial_number:,,,,
2036199,,,,
Project ID:,,,,
ACRE Wetland,,,,
Location:,,,,
Inlet B,,,,
LEVEL,,,,
UNIT: cm,,,,
Offset: 0.000000 cm,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
1/28/2022,11:45:00 PM,0,16.5,3.9
1/29/2022,12:00:00 AM,0,16.8,3.9
1/29/2022,12:15:00 AM,0,17.2,3.9
1/29/2022,12:30:00 AM,0,17.3,3.9
1/29/2022,12:45:00 AM,0,17.7,3.9
1/29/2022,1:00:00 AM,0,17.9,3.9
1/29/2022,1:15:00 AM,0,17.8,3.9
1/29/2022,1:30:00 AM,0,18,3.9
1/29/2022,1:45:00 AM,0,18,3.9
1/29/2022,2:00:00 AM,0,18.2,3.9
1/29/2022,2:15:00 AM,0,18.1,3.9
1/29/2022,2:30:00 AM,0,18.2,3.8
1/29/2022,2:45:00 AM,0,17.9,3.8
1/29/2022,3:00:00 AM,0,18,3.8
1/29/2022,3:15:00 AM,0,18.1,3.8
1/29/2022,3:30:00 AM,0,18.2,3.8
1/29/2022,3:45:00 AM,0,18.3,3.8
1/29/2022,4:00:00 AM,0,18.2,3.8
1/29/2022,4:15:00 AM,0,18.2,3.8
1/29/2022,4:30:00 AM,0,17.9,3.8
1/29/2022,4:45:00 AM,0,17.8,3.8
1/29/2022,5:00:00 AM,0,17.8,3.8
1/29/2022,5:15:00 AM,0,17.9,3.8
1/29/2022,5:30:00 AM,0,18,3.7
1/29/2022,5:45:00 AM,0,18.3,3.7
1/29/2022,6:00:00 AM,0,18.3,3.7
1/29/2022,6:15:00 AM,0,18.5,3.7
1/29/2022,6:30:00 AM,0,18.6,3.7
1/29/2022,6:45:00 AM,0,18.6,3.7
1/29/2022,7:00:00 AM,0,18.7,3.7
1/29/2022,7:15:00 AM,0,18.8,3.7
1/29/2022,7:30:00 AM,0,18.6,3.7
1/29/2022,7:45:00 AM,0,18.5,3.7
1/29/2022,8:00:00 AM,0,18.1,3.6
1/29/2022,8:15:00 AM,0,17.8,3.6
1/29/2022,8:30:00 AM,0,17.6,3.6
1/29/2022,8:45:00 AM,0,17.4,3.6
1/29/2022,9:00:00 AM,0,17,3.6
1/29/2022,9:15:00 AM,0,16.9,3.6
1/29/2022,9:30:00 AM,0,16.7,3.6
1/29/2022,9:45:00 AM,0,16.2,3.6
1/29/2022,10:00:00 AM,0,15.8,3.6
1/29/2022,10:15:00 AM,0,15.3,3.6
1/29/2022,10:30:00 AM,0,15.1,3.6
1/29/2022,10:45:00 AM,0,14.8,3.6
1/29/2022,11:00:00 AM,0,14.6,3.6
1/29/2022,11:15:00 AM,0,14,3.6
1/29/2022,11:30:00 AM,0,13.6,3.6
1/29/2022,11:45:00 AM,0,13.6,3.6
1/29/2022,12:00:00 PM,0,13.5,3.6
1/29/2022,12:15:00 PM,0,13.2,3.6
1/29/2022,12:30:00 PM,0,13,3.6
1/29/2022,12:45:00 PM,0,12.9,3.6
1/29/2022,1:00:00 PM,0,12.9,3.6
1/29/2022,1:15:00 PM,0,12.7,3.6
1/29/2022,1:30:00 PM,0,12.4,3.6
1/29/2022,1:45:00 PM,0,14.1,3.6
1/29/2022,2:00:00 PM,0,14.2,3.6
1/29/2022,2:15:00 PM,0,14.4,3.7
1/29/2022,2:30:00 PM,0,14.4,3.7
1/29/2022,2:45:00 PM,0,14.4,3.7
1/29/2022,3:00:00 PM,0,14.5,3.7
1/29/2022,3:15:00 PM,0,13.7,3.7
1/29/2022,3:30:00 PM,0,13.8,3.7
1/29/2022,3:45:00 PM,0,13.6,3.7
1/29/2022,4:00:00 PM,0,13.6,3.7
1/29/2022,4:15:00 PM,0,13.7,3.7
1/29/2022,4:30:00 PM,0,14,3.8
1/29/2022,4:45:00 PM,0,14.1,3.8
1/29/2022,5:00:00 PM,0,14.6,3.8
1/29/2022,5:15:00 PM,0,14.9,3.8
1/29/2022,5:30:00 PM,0,15.2,3.8
1/29/2022,5:45:00 PM,0,15.4,3.8
1/29/2022,6:00:00 PM,0,15.6,3.8
1/29/2022,6:15:00 PM,0,15.7,3.8
1/29/2022,6:30:00 PM,0,15.6,3.8
1/29/2022,6:45:00 PM,0,15.7,3.8
1/29/2022,7:00:00 PM,0,15.7,3.8
1/29/2022,7:15:00 PM,0,15.7,3.8
1/29/2022,7:30:00 PM,0,15.5,3.8
1/29/2022,7:45:00 PM,0,15.3,3.8
1/29/2022,8:00:00 PM,0,15.3,3.8
1/29/2022,8:15:00 PM,0,15.3,3.8
1/29/2022,8:30:00 PM,0,15.5,3.8
1/29/2022,8:45:00 PM,0,15.2,3.8
1/29/2022,9:00:00 PM,0,15.4,3.8
1/29/2022,9:15:00 PM,0,15.2,3.8
1/29/2022,9:30:00 PM,0,15.4,3.8
1/29/2022,9:45:00 PM,0,15.3,3.8
1/29/2022,10:00:00 PM,0,15.6,3.8
1/29/2022,10:15:00 PM,0,15.4,3.8
1/29/2022,10:30:00 PM,0,15.3,3.8
1/29/2022,10:45:00 PM,0,15.5,3.8
1/29/2022,11:00:00 PM,0,15.8,3.8
1/29/2022,11:15:00 PM,0,15.9,3.8
1/29/2022,11:30:00 PM,0,16,3.8
1/29/2022,11:45:00 PM,0,16.3,3.8
1/30/2022,12:00:00 AM,0,16.2,3.8
1/30/2022,12:15:00 AM,0,16.4,3.8
1/30/2022,12:30:00 AM,0,16.6,3.8
1/30/2022,12:45:00 AM,0,16.7,3.8
1/30/2022,1:00:00 AM,0,16.6,3.8
1/30/2022,1:15:00 AM,0,16.7,3.8
1/30/2022,1:30:00 AM,0,16.7,3.8
1/30/2022,1:45:00 AM,0,16.8,3.8
1/30/2022,2:00:00 AM,0,16.7,3.8
