Serial_number:
2036204
Project ID:
ACRE Wetland
Location:
Outlet
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/31/2022,03:00:00 pm,0,10.704,20.40
8/31/2022,03:15:00 pm,0,10.704,20.10
8/31/2022,03:30:00 pm,0,10.701,20.10
8/31/2022,03:45:00 pm,0,10.701,20.10
8/31/2022,04:00:00 pm,0,10.698,20.10
8/31/2022,04:15:00 pm,0,10.698,20.10
8/31/2022,04:30:00 pm,0,10.695,20.10
8/31/2022,04:45:00 pm,0,10.695,20.10
8/31/2022,05:00:00 pm,0,10.695,20.10
8/31/2022,05:15:00 pm,0,10.695,20.10
8/31/2022,05:30:00 pm,0,10.692,20.10
8/31/2022,05:45:00 pm,0,10.695,20.20
8/31/2022,06:00:00 pm,0,10.695,20.20
8/31/2022,06:15:00 pm,0,10.692,20.20
8/31/2022,06:30:00 pm,0,10.692,20.20
8/31/2022,06:45:00 pm,0,10.692,20.20
8/31/2022,07:00:00 pm,0,10.689,20.20
8/31/2022,07:15:00 pm,0,10.689,20.20
8/31/2022,07:30:00 pm,0,10.689,20.20
8/31/2022,07:45:00 pm,0,10.689,20.20
8/31/2022,08:00:00 pm,0,10.689,20.20
8/31/2022,08:15:00 pm,0,10.689,20.20
8/31/2022,08:30:00 pm,0,10.692,20.20
8/31/2022,08:45:00 pm,0,10.692,20.20
8/31/2022,09:00:00 pm,0,10.692,20.20
8/31/2022,09:15:00 pm,0,10.695,20.20
8/31/2022,09:30:00 pm,0,10.692,20.20
8/31/2022,09:45:00 pm,0,10.692,20.20
8/31/2022,10:00:00 pm,0,10.692,20.20
8/31/2022,10:15:00 pm,0,10.692,20.20
8/31/2022,10:30:00 pm,0,10.695,20.30
8/31/2022,10:45:00 pm,0,10.695,20.30
8/31/2022,11:00:00 pm,0,10.695,20.30
8/31/2022,11:15:00 pm,0,10.695,20.30
8/31/2022,11:30:00 pm,0,10.695,20.30
8/31/2022,11:45:00 pm,0,10.695,20.30
9/1/2022,12:00:00 am,0,10.695,20.30
9/1/2022,12:15:00 am,0,10.695,20.30
9/1/2022,12:30:00 am,0,10.695,20.30
9/1/2022,12:45:00 am,0,10.695,20.30
9/1/2022,01:00:00 am,0,10.695,20.30
9/1/2022,01:15:00 am,0,10.695,20.30
9/1/2022,01:30:00 am,0,10.695,20.30
9/1/2022,01:45:00 am,0,10.695,20.30
9/1/2022,02:00:00 am,0,10.695,20.30
9/1/2022,02:15:00 am,0,10.692,20.30
9/1/2022,02:30:00 am,0,10.692,20.30
9/1/2022,02:45:00 am,0,10.692,20.20
9/1/2022,03:00:00 am,0,10.692,20.20
9/1/2022,03:15:00 am,0,10.692,20.20
9/1/2022,03:30:00 am,0,10.692,20.20
9/1/2022,03:45:00 am,0,10.692,20.10
9/1/2022,04:00:00 am,0,10.692,20.10
9/1/2022,04:15:00 am,0,10.692,20.10
9/1/2022,04:30:00 am,0,10.692,20.10
9/1/2022,04:45:00 am,0,10.692,20.10
9/1/2022,05:00:00 am,0,10.689,20.00
9/1/2022,05:15:00 am,0,10.689,20.00
9/1/2022,05:30:00 am,0,10.692,20.00
9/1/2022,05:45:00 am,0,10.692,20.00
9/1/2022,06:00:00 am,0,10.692,19.90
9/1/2022,06:15:00 am,0,10.692,19.90
9/1/2022,06:30:00 am,0,10.695,19.90
9/1/2022,06:45:00 am,0,10.695,19.90
9/1/2022,07:00:00 am,0,10.698,19.80
9/1/2022,07:15:00 am,0,10.698,19.80
9/1/2022,07:30:00 am,0,10.698,19.80
9/1/2022,07:45:00 am,0,10.698,19.80
9/1/2022,08:00:00 am,0,10.698,19.70
9/1/2022,08:15:00 am,0,10.701,19.70
9/1/2022,08:30:00 am,0,10.704,19.70
9/1/2022,08:45:00 am,0,10.704,19.70
9/1/2022,09:00:00 am,0,10.704,19.70
9/1/2022,09:15:00 am,0,10.704,19.70
9/1/2022,09:30:00 am,0,10.704,19.70
9/1/2022,09:45:00 am,0,10.704,19.70
9/1/2022,10:00:00 am,0,10.704,19.70
9/1/2022,10:15:00 am,0,10.704,19.70
9/1/2022,10:30:00 am,0,10.704,19.70
9/1/2022,10:45:00 am,0,10.704,19.70
9/1/2022,11:00:00 am,0,10.701,19.70
9/1/2022,11:15:00 am,0,10.701,19.70
9/1/2022,11:30:00 am,0,10.698,19.70
9/1/2022,11:45:00 am,0,10.698,19.70
9/1/2022,12:00:00 pm,0,10.695,19.70
9/1/2022,12:15:00 pm,0,10.695,19.70
9/1/2022,12:30:00 pm,0,10.692,19.80
9/1/2022,12:45:00 pm,0,10.692,19.80
9/1/2022,01:00:00 pm,0,10.689,19.80
9/1/2022,01:15:00 pm,0,10.689,19.90
9/1/2022,01:30:00 pm,0,10.689,19.90
